202003-1303-3852-0abe8812-3e39-41df-8d81-9f11e779b43f,2020-03-13T02:38:52,qwefwef,qwefqwef,12/34/1234,123-41-2343,4,50,10,36,qwefadsfasdf
202003-1304-1413-cde6b465-16e8-4f85-a212-87c0e58d2898,2020-03-13T03:14:13,asfdasdf,asdfasdf,12/34/1234,123-41-2341,11,45,14,30,aaaa
202003-2101-3245-5efd806f-5408-4fe8-945f-86a7e565ffbd,2020-03-21T00:32:45,asfasdfasf,asdfasdfas,45/67/5685,567-85-6785,4,45,18,33,aaaa
202003-1319-1722-4faffb26-abef-43ef-9b21-747f4763c8ce,2020-03-13T18:17:22,aesfasdfa,sdfasdfas,12/34/1234,123-41-2341,3,43,18,36,aaaa
202003-1321-2435-bf31c2c0-d36d-4c7d-8f1e-bb198b8aa967,2020-03-13T20:24:35,asaser,aseraewr,21/34/1234,123-41-2341,8,47,15,30,aaaa
202003-1321-2652-884e12e1-6408-4e35-babd-2b792cbcb0dd,2020-03-13T20:26:52,qwdfhregbefb,ergbefv,34/56/5656,345-63-4563,7,45,20,28,sadfasdf
202003-2220-3336-b99f6a4b-a223-4ba7-8334-c99fcc84947e,2020-03-22T19:33:36,NEW,ENTYR,23/45/2345,345-23-4523,5,51,12,32,"asdbsdavjbas

cells are chediak higashi

tratement

diagnosis
"
202003-1522-2146-fd8d69ce-5398-476b-81a8-f9de02747691,2020-03-15T21:21:46,asfawef,asdfasfd,45/74/5745,456-74-5674,6,51,18,25,"REview:

Cells look normal

Nosigns of inclusions"
202003-2101-1957-e651eab8-fb12-4e77-a6c9-edb8dd2072d2,2020-03-21T00:19:57,qwe,qwe,12/34/123,234-52-3463,6,42,18,34,"Comments:
Cells have inclusions

Diagnosis:
asdfa


Additional tests:
asdf


Possible Treatments:
asf"
202003-2101-1957-e651eab8-fb12-4e77-a6c9-edb8dd2072d2,2020-03-21T00:19:57,qwe,qwe,12/34/123,234-52-3463,6,42,18,34,"Comments:
Cells have inclusions

Diagnosis:
asdfa


Additional tests:
asdf


Possible Treatments:
asf"
202003-2222-0552-898524e9-c902-45b8-b7b4-527ed77ac3c9,2020-03-22T21:05:52,qwefqwef,qwefqwef,23/41/234,123-41-2341,8,53,5,34,"Comments:
Cells have inclusions
Granularity of neutrophils are inconsistent
Atypical lymphocytes present

Diagnosis:
asdfa


Additional tests:
asdf


Possible Treatments:
asf"
202003-2222-0231-94cdb231-b41a-4ee8-9d8c-6cd6a029d3be,2020-03-22T21:02:31,wearwear,wqeqweqwe,12/35/2351,235-12-3512,5,55,7,33,"Comments:
Cells are normal

Diagnosis:
Normal


Additional tests:
asdf


Possible Treatments:
asf"
